# MESSENGER FIPS field-of-view pixel to spherical coordinate mapping                  
# Created:                                                                            
#       X       Y         V_POLAR       V_AZIMUTH PIXEL_SOLID_ANG       PIXEL_EFF QUAL
#     [1]     [1]         Degrees         Degrees       Steradian             [1]  [1]
       27      26       4.089e+01       1.251e+02       5.101e-03       2.111e+00    0
       27      27       3.745e+01       1.282e+02       5.710e-03       1.031e+00    0
       27      28       3.394e+01       1.321e+02       6.025e-03       8.917e-01    0
       27      29       3.038e+01       1.369e+02       6.583e-03       6.042e-01    0
       27      30       2.685e+01       1.429e+02       6.796e-03       9.611e-01    0
       27      31       2.351e+01       1.503e+02       4.798e-03       1.257e+00    0
       27      32       2.060e+01       1.595e+02       0.000e+00       0.000e+00    1
       27      33       1.845e+01       1.704e+02       0.000e+00       0.000e+00    1
       27      34       1.741e+01       1.827e+02       0.000e+00       0.000e+00    1
       27      35       1.768e+01       1.953e+02       0.000e+00       0.000e+00    1
       27      36       1.920e+01       2.071e+02       6.095e-03       7.853e-01    0
       27      37       2.169e+01       2.174e+02       6.904e-03       1.682e-01    0
       27      38       2.481e+01       2.258e+02       6.410e-03       1.327e+00    0
       27      39       2.825e+01       2.326e+02       5.915e-03       4.526e-01    0
       27      40       3.181e+01       2.381e+02       5.308e-03       1.145e+00    0
       27      41       3.535e+01       2.425e+02       5.302e-03       5.729e-01    0
       27      42       3.884e+01       2.461e+02       4.563e-03       6.410e-01    0
       27      43       4.225e+01       2.491e+02       4.247e-03       6.642e-01    0
       27      44       4.562e+01       2.515e+02       4.279e-03       6.476e-01    0
       27      45       4.900e+01       2.536e+02       4.037e-03       3.057e-01    0
       27      46       5.243e+01       2.554e+02       4.232e-03       2.744e-01    0
       27      47       5.599e+01       2.569e+02       4.424e-03       4.891e-01    0
       27      48       5.976e+01       2.583e+02       4.332e-03       8.681e-01    0
       27      49       6.382e+01       2.594e+02       4.483e-03       0.000e+00    1
       27      50       6.826e+01       2.605e+02       5.208e-03       0.000e+00    1
       27      51       7.316e+01       2.614e+02       0.000e+00       0.000e+00    1
       28      18       6.992e+01       1.087e+02       3.853e-03       1.764e+00    0
